"","PC1","PC2","group","uconds","strains","nutrient","name"
"1",-11.1016424993822,-39.0881020987606,"2-glc-cd103:cd103:2-glc","2-glc-cd103","cd103","2-glc","1"
"2",40.2013418474276,-4.9089507298725,"02-glc-cd103:cd103:02-glc","02-glc-cd103","cd103","02-glc","2"
"3",-32.9520230477354,20.6125082117846,"002-glc-cd103:cd103:002-glc","002-glc-cd103","cd103","002-glc","3"
"4",3.10403078854208,-46.4370341225405,"2-fru-cd103:cd103:2-fru","2-fru-cd103","cd103","2-fru","4"
"5",16.1812907161914,-3.17891700987863,"2-gal-cd103:cd103:2-gal","2-gal-cd103","cd103","2-gal","5"
"6",14.8358796253174,11.8550868577363,"2-raf-cd103:cd103:2-raf","2-raf-cd103","cd103","2-raf","6"
"7",-4.99456457599984,-27.9602911378707,"2-mal-cd103:cd103:2-mal","2-mal-cd103","cd103","2-mal","7"
"8",-23.1826753983862,33.1064256677783,"2-ace-cd103:cd103:2-ace","2-ace-cd103","cd103","2-ace","8"
"9",23.5454640185764,9.43520853503162,"2-glc-sh07:sh07:2-glc","2-glc-sh07","sh07","2-glc","9"
"10",1.21536170775581,17.4654707327766,"02-glc-sh07:sh07:02-glc","02-glc-sh07","sh07","02-glc","10"
"11",-40.825871176567,8.89568471401294,"002-glc-sh07:sh07:002-glc","002-glc-sh07","sh07","002-glc","11"
"12",-3.09031738053138,-39.1101534981645,"2-fru-sh07:sh07:2-fru","2-fru-sh07","sh07","2-fru","12"
"13",16.3739669905411,-12.4973253754006,"2-gal-sh07:sh07:2-gal","2-gal-sh07","sh07","2-gal","13"
"14",-19.05287288962,24.1845658883437,"2-raf-sh07:sh07:2-raf","2-raf-sh07","sh07","2-raf","14"
"15",-3.82423668933973,-36.7556166325488,"2-mal-sh07:sh07:2-mal","2-mal-sh07","sh07","2-mal","15"
"16",-9.7922369902474,45.6471289514104,"2-ace-sh07:sh07:2-ace","2-ace-sh07","sh07","2-ace","16"
"17",43.5666367741454,-11.6724612207181,"2-glc-cd103:cd103:2-glc","2-glc-cd103","cd103","2-glc","17"
"18",19.651228864455,-10.0856946163616,"02-glc-cd103:cd103:02-glc","02-glc-cd103","cd103","02-glc","18"
"19",-28.2019230164855,32.7960474901841,"002-glc-cd103:cd103:002-glc","002-glc-cd103","cd103","002-glc","19"
"20",51.6682848892531,-15.0821217718186,"2-fru-cd103:cd103:2-fru","2-fru-cd103","cd103","2-fru","20"
"21",-6.02433867359145,-37.8752866894883,"2-gal-cd103:cd103:2-gal","2-gal-cd103","cd103","2-gal","21"
"22",-46.3902852228131,-9.46273561752628,"2-raf-cd103:cd103:2-raf","2-raf-cd103","cd103","2-raf","22"
"23",0.168648389940171,-38.789928570811,"2-mal-cd103:cd103:2-mal","2-mal-cd103","cd103","2-mal","23"
"24",-11.7113441263807,46.5393102792291,"2-ace-cd103:cd103:2-ace","2-ace-cd103","cd103","2-ace","24"
"25",-43.5554188834751,-30.3811937620238,"2-glc-sh07:sh07:2-glc","2-glc-sh07","sh07","2-glc","25"
"26",-38.1247374766917,14.7888765173789,"02-glc-sh07:sh07:02-glc","02-glc-sh07","sh07","02-glc","26"
"27",-38.5079858708671,14.8362704967376,"002-glc-sh07:sh07:002-glc","002-glc-sh07","sh07","002-glc","27"
"28",-51.4393310258957,-28.8929598413859,"2-fru-sh07:sh07:2-fru","2-fru-sh07","sh07","2-fru","28"
"29",0.318095566469965,-38.1644747316876,"2-gal-sh07:sh07:2-gal","2-gal-sh07","sh07","2-gal","29"
"30",23.1459340287162,31.2839118610904,"2-raf-sh07:sh07:2-raf","2-raf-sh07","sh07","2-raf","30"
"31",-1.05230532682338,-29.4922858709286,"2-mal-sh07:sh07:2-mal","2-mal-sh07","sh07","2-mal","31"
"32",-21.205284843306,34.4543839090501,"2-ace-sh07:sh07:2-ace","2-ace-sh07","sh07","2-ace","32"
"33",43.0152200437557,-9.98647476585933,"2-glc-cd103:cd103:2-glc","2-glc-cd103","cd103","2-glc","33"
"34",31.9824827506207,-6.33658618471595,"02-glc-cd103:cd103:02-glc","02-glc-cd103","cd103","02-glc","34"
"35",-78.0214827964106,-6.22215282845151,"002-glc-cd103:cd103:002-glc","002-glc-cd103","cd103","002-glc","35"
"36",53.0471689170248,-15.9744890293302,"2-fru-cd103:cd103:2-fru","2-fru-cd103","cd103","2-fru","36"
"37",-7.8788487214325,-39.5899152375678,"2-gal-cd103:cd103:2-gal","2-gal-cd103","cd103","2-gal","37"
"38",-46.5879048008714,-10.0580491722271,"2-raf-cd103:cd103:2-raf","2-raf-cd103","cd103","2-raf","38"
"39",1.33895136627964,-13.6410761569543,"2-mal-cd103:cd103:2-mal","2-mal-cd103","cd103","2-mal","39"
"40",-14.7339094517078,43.4153541969794,"2-ace-cd103:cd103:2-ace","2-ace-cd103","cd103","2-ace","40"
"41",-41.7023992757229,-27.0151196152806,"2-glc-sh07:sh07:2-glc","2-glc-sh07","sh07","2-glc","41"
"42",-76.8098928409869,-11.7632029955818,"02-glc-sh07:sh07:02-glc","02-glc-sh07","sh07","02-glc","42"
"43",-39.8700962895197,15.0320618231692,"002-glc-sh07:sh07:002-glc","002-glc-sh07","sh07","002-glc","43"
"44",-45.228918960535,-33.2725626573142,"2-fru-sh07:sh07:2-fru","2-fru-sh07","sh07","2-fru","44"
"45",-35.4988736311227,-30.606954314375,"2-gal-sh07:sh07:2-gal","2-gal-sh07","sh07","2-gal","45"
"46",19.5946845932092,29.7713589317791,"2-raf-sh07:sh07:2-raf","2-raf-sh07","sh07","2-raf","46"
"47",43.9464139454032,32.2303649283762,"2-mal-sh07:sh07:2-mal","2-mal-sh07","sh07","2-mal","47"
"48",-17.7049061789502,39.899248584079,"2-ace-sh07:sh07:2-ace","2-ace-sh07","sh07","2-ace","48"
"49",42.1585841376685,-24.8083170554355,"2-glc-a28y:a28y:2-glc","2-glc-a28y","a28y","2-glc","49"
"50",45.2369964766477,-23.1170462349355,"02-glc-a28y:a28y:02-glc","02-glc-a28y","a28y","02-glc","50"
"51",-32.2062570075242,16.5827943251482,"002-glc-a28y:a28y:002-glc","002-glc-a28y","a28y","002-glc","51"
"52",-9.32174609397688,11.4153099342541,"2-raf-a28y:a28y:2-raf","2-raf-a28y","a28y","2-raf","52"
"53",-11.5315983420965,33.6679704367627,"2-ace-a28y:a28y:2-ace","2-ace-a28y","a28y","2-ace","53"
"54",32.2540072429938,-26.3830142987855,"2-fru-a28y:a28y:2-fru","2-fru-a28y","a28y","2-fru","54"
"55",30.53682821388,-14.8458363487204,"2-mal-a28y:a28y:2-mal","2-mal-a28y","a28y","2-mal","55"
"56",22.8521306177137,14.1304063830401,"2-gal-a28y:a28y:2-gal","2-gal-a28y","a28y","2-gal","56"
"57",66.1342943690479,9.01305646875924,"2-glc-a28y:a28y:2-glc","2-glc-a28y","a28y","2-glc","57"
"58",61.2122729541461,13.5718298747771,"02-glc-a28y:a28y:02-glc","02-glc-a28y","a28y","02-glc","58"
"59",-4.00012014301117,36.7580498033967,"002-glc-a28y:a28y:002-glc","002-glc-a28y","a28y","002-glc","59"
"60",10.119916368552,43.0448591176285,"2-raf-a28y:a28y:2-raf","2-raf-a28y","a28y","2-raf","60"
"61",-0.383588602277015,43.5008451059847,"2-ace-a28y:a28y:2-ace","2-ace-a28y","a28y","2-ace","61"
"62",58.3247806049391,-7.84694178871857,"2-fru-a28y:a28y:2-fru","2-fru-a28y","a28y","2-fru","62"
"63",54.8083042715587,7.61782528553297,"2-mal-a28y:a28y:2-mal","2-mal-a28y","a28y","2-mal","63"
"64",25.9707371695121,25.7510566698282,"2-gal-a28y:a28y:2-gal","2-gal-a28y","a28y","2-gal","64"
